 	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	
Period	EenegyConsumed                          	EnergyGenerated                         	PMV                                     	CO2emissions                            	
     +80	 +0.3005146468996013E+004	 +0.0000000000000000E+000	 -0.1961458756487286E+000	 +0.3005146468996013E+004	
     +81	 +0.3035799107834932E+004	 +0.3850888510187078E+002	 -0.3564442663589471E+000	 +0.2997290222733061E+004	
     +82	 +0.3534532801055298E+004	 +0.3431777003437164E+005	 -0.3008470461704792E+000	 +0.0000000000000000E+000	
     +83	 +0.3234245560614742E+004	 +0.7001158925857399E+005	 -0.2765153480589660E+000	 +0.0000000000000000E+000	
     +84	 +0.2951764090705729E+004	 +0.9558118473299494E+005	 -0.3263640335890932E+000	 +0.0000000000000000E+000	
     +85	 +0.2740502633634515E+004	 +0.1072342474754861E+006	 -0.3704010848853107E+000	 +0.0000000000000000E+000	
     +86	 +0.2533394098743376E+004	 +0.1098326037646090E+006	 -0.3949662718515512E+000	 +0.0000000000000000E+000	
     +87	 +0.2455405523616429E+004	 +0.9594663769742913E+005	 -0.3924078348277809E+000	 +0.0000000000000000E+000	
     +88	 +0.2448002372563148E+004	 +0.6659680027476860E+005	 -0.4078028888478404E+000	 +0.0000000000000000E+000	
     +89	 +0.2590728587935383E+004	 +0.3212283067336679E+005	 -0.4119080232675343E+000	 +0.0000000000000000E+000	
     +90	 +0.2094920474404937E+004	 +0.0000000000000000E+000	 -0.2140650497967025E+000	 +0.2094920474404937E+004	
     +91	 +0.2242971005860216E+004	 +0.0000000000000000E+000	 -0.1464357645022891E+000	 +0.2242971005860216E+004	
     +92	 +0.2245412237709508E+004	 +0.0000000000000000E+000	 -0.1235072409907298E+000	 +0.2245412237709508E+004	
     +93	 +0.2371699898641551E+004	 +0.0000000000000000E+000	 -0.9014536595300454E-001	 +0.2371699898641551E+004	
     +94	 +0.2460254853429387E+004	 +0.0000000000000000E+000	 -0.9109197091768376E-001	 +0.2460254853429387E+004	
     +95	 +0.2546058756542234E+004	 +0.0000000000000000E+000	 -0.7789582306170342E-001	 +0.2546058756542234E+004	
     +96	 +0.2699678800130884E+004	 +0.0000000000000000E+000	 -0.8327868856362816E-001	 +0.2699678800130884E+004	
     +97	 +0.2744342506612063E+004	 +0.0000000000000000E+000	 -0.7612602991048982E-001	 +0.2744342506612063E+004	
     +98	 +0.2775327608226981E+004	 +0.3406831303908477E+003	 -0.8011674854811411E-001	 +0.2434644477836133E+004	
     +99	 +0.2787785140036466E+004	 +0.8289219313145342E+002	 -0.7679203608838781E-001	 +0.2704892946905012E+004	
    +100	 +0.2838573200344850E+004	 +0.0000000000000000E+000	 -0.7696528196835359E-001	 +0.2838573200344850E+004	
    +101	 +0.2846437601376866E+004	 +0.0000000000000000E+000	 -0.7314817201138800E-001	 +0.2846437601376866E+004	
    +102	 +0.2859925851782731E+004	 +0.0000000000000000E+000	 -0.6826477012121378E-001	 +0.2859925851782731E+004	
    +103	 +0.2860647420605989E+004	 +0.0000000000000000E+000	 -0.5999502773825742E-001	 +0.2860647420605989E+004	
    +104	 +0.2977321821133197E+004	 +0.0000000000000000E+000	 -0.2315312271186648E+000	 +0.2977321821133197E+004	
    +105	 +0.2949756734306134E+004	 +0.3848611724808674E+002	 -0.3699316407497547E+000	 +0.2911270617058047E+004	
    +106	 +0.2882601738616384E+004	 +0.1005846299009259E+004	 -0.4060460326457088E+000	 +0.1876755439607125E+004	
    +107	 +0.2719992708515821E+004	 +0.2118375812360109E+004	 -0.4081491454164055E+000	 +0.6016168961557114E+003	
    +108	 +0.3269500759396345E+004	 +0.1326002482642080E+005	 -0.4223609273849628E+000	 +0.0000000000000000E+000	
    +109	 +0.3129633843836641E+004	 +0.1398528476613394E+005	 -0.4219835117955950E+000	 +0.0000000000000000E+000	
    +110	 +0.2996688669570378E+004	 +0.1409171179463528E+005	 -0.4324207005535371E+000	 +0.0000000000000000E+000	
    +111	 +0.2368603567425624E+004	 +0.1171790758916180E+004	 -0.4393538561305565E+000	 +0.1196812808509444E+004	
    +112	 +0.2474140480635022E+004	 +0.3414319706356764E+003	 -0.4526456512132812E+000	 +0.2132708509999346E+004	
